epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,288.066,2.17165,4.27326,1.23065,0.3176,0.06628,0.0642,0.036,2.11554,3.57551,1.07958,0.000194559,0.000194559,0.000194559
2,514.484,2.1709,3.41665,1.12104,0.64745,0.10686,0.09536,0.05195,2.07236,2.60456,1.08684,0.000388626,0.000388626,0.000388626
3,707.171,2.15874,2.74674,1.0988,0.5611,0.15635,0.1047,0.05533,2.07274,2.18625,1.08439,0.000580752,0.000580752,0.000580752
4,1080.76,2.08877,2.41607,1.09989,0.6754,0.15779,0.12565,0.07176,1.91843,1.9776,1.05921,0.000579268,0.000579268,0.000579268
5,1343.07,2.01885,2.22184,1.08413,0.3216,0.21006,0.16725,0.10269,1.88387,1.90039,1.05943,0.000576358,0.000576358,0.000576358
6,1512.76,2.00377,2.0774,1.08379,0.40346,0.21694,0.17457,0.10726,1.82823,1.76175,1.05057,0.000573447,0.000573447,0.000573447
7,1669.38,1.98286,1.98088,1.07414,0.27041,0.23422,0.18682,0.11496,1.87246,1.74878,1.04498,0.000570536,0.000570536,0.000570536
8,1984.06,1.92062,1.91834,1.06378,0.37794,0.27245,0.21123,0.13448,1.79128,1.64401,1.0336,0.000567626,0.000567626,0.000567626
9,2172.84,1.91449,1.86679,1.0503,0.35493,0.28785,0.22535,0.13776,1.82978,1.71052,1.03237,0.000564715,0.000564715,0.000564715
10,2249.69,1.93117,1.85947,1.05892,0.59566,0.28346,0.26633,0.16977,1.74261,1.58186,1.02146,0.000561805,0.000561805,0.000561805
11,2369.8,1.88511,1.75055,1.04384,0.65199,0.28461,0.3017,0.19263,1.78981,1.5571,1.0225,0.000558894,0.000558894,0.000558894
12,2556.45,1.84282,1.73376,1.03242,0.53818,0.32926,0.32447,0.20928,1.75749,1.51673,1.02724,0.000555983,0.000555983,0.000555983
13,2771.27,1.82168,1.69992,1.03372,0.60426,0.30281,0.33655,0.21701,1.7787,1.50582,1.01926,0.000553073,0.000553073,0.000553073
